UniProtAccFull	UniProtAcc	UniProtName	Gene	EntrezGene	R_01	R_02	R_03	R_04	R_05	R_06	R_07	R_08	R_09	S_01	S_02	S_03	S_04	S_05	S_06	S_07	S_08	S_09
A0A0G2K0D3	A0A0G2K0D3	LMOD1_RAT	Lmod1	304816	0.0347612561016958	0.0638839921867584	0.31028001963219	0.0888429026438661	-0.000253395691418801	0.00640594198476097	-0.536246303640985	0.111828677798815	-0.227010548322834	0.171735132312831	-0.179382938979388	0.186492766017732	-0.20663594200372	-0.600655271716702	0.0519461432290115	0.152458032121575	-0.0198459509691049	-0.00426882622048552
A0FKI7-2	A0FKI7	ACBD5_RAT	Acbd5	307170	0.445747882916253	0.322168861042425	0.408890859286577	0.518908959069908	0.639461246736911	0.0689163093532683	0.055281497947937	0.031841903885144	0.00120138432713937	-0.994241102205913	-1.13913050401425	-0.49443582445277	-0.951723120380502	0.102695963751555	-0.0737212562111961	-0.0238015680494392	-0.0708497385219193	-0.154404655264736
A0JPJ7	A0JPJ7	OLA1_RAT	Ola1	296488	-0.0584244827997979	0.0419789589774943	0.0150884836222737	-0.0419246298368856	-0.0496581677464396	0.127176032884939	-0.0418976034527068	0.159337680317988	0.0916036771316171	-0.0586264797049794	0.0852775202058872	0.0656935497249457	0.0781735455090224	0.041005661457513	0.110863520128678	0.131007309212837	0.0340688769743543	0.0731799112311621
A0JPM9	A0JPM9	EIF3J_RAT	Eif3j	691947	-0.0224142477498999	-0.0304724942182825	0.041616502877242	-0.0076007364990397	-0.0530868673044764	0.0710433664893764	-0.0339164284423564	0.0140296016788717	0.0352336063608028	0.106670196490077	0.00448991000599008	0.0733711922746811	0.0687672248600313	-0.076214134109328	-0.00909586258919598	-0.0627643981769122	-0.0576270176438212	-0.0683064053533752
A0JPN6-2	A0JPN6	MED22_RAT	Med22	499762	0.0237722727751269	0.158655188274373	0.0590971974293311	0.0245783661279782	0.0924131033284879	-0.0809811149889298	-0.0767321295244631	-0.123811330291215	-0.240700498990261	0.160730848538461	-0.170086120163791	-0.162090891080972	-0.157238277632051	-0.192432780884745	-0.258735868008	0.0154747023176057	-0.106849410911168	-0.0813396155108781
A0JPP1	A0JPP1	NC2A_RAT	Drap1	293674	-0.127228178296534	-0.160400069050485	-0.091726363436635	-0.197778325422809	-0.102489467178912	0.250645822936327	0.0242068464409201	-0.180321570833085	-0.116685780566909	-0.260167127332222	0.0133212803067699	0.112754395445899	-0.04154027565491	0.20596762871569	0.0129861349786314	-0.0224953845870242	0.0934555754888536	0.124596606363529
A0JPQ4	A0JPQ4	TRI72_RAT	Trim72	365377	-0.00998288149800292	0.073719119083507	0.0309787795596171	-0.0831239930476957	-0.0161339580387296	-0.0204656849056195	-0.0565218130745184	0.0446880363182753	0.115173934101244	0.0159642297041039	0.0138467029108229	0.0377876706278286	0.0830771226921454	0.0760134977738998	0.0570567672308671	0.117948037651458	0.0139615175829418	0.116985790462795
A0JPQ7	A0JPQ7	CS047_RAT		292739	-0.0369284966216035	0.047226148802664	-0.133954793651361	-0.0683093769237297	0.0107859879232366	-0.22002787927627	0.29104188436642	0.0100941285821993	-0.0738530844212585	0.0730920342354952	0.308515938680506	0.0864101147998502	-0.00645090003592907	0.0932498985764444	0.0816842188096699	-0.24443402854608	0.250908095143695	-0.102088846198232
A0JPQ9	A0JPQ9	CHID1_RAT	Chid1	293628	0.0302223228172317	0.0627077380539199	0.144684138129701	0.0113963901616796	0.0980962046136266	0.234607451569308	0.0483779557623653	-0.514467074386153	0.223395917925971	0.209206348643447	0.147502523593933	0.124177559625821	0.130495821448326	0.0607885913073935	0.0287028882739658	0.262372171005468	-0.122289345009746	0.437056046980969
A1A5P0	A1A5P0	BORG5_RAT	Cdc42ep1	315121	0.103992863825585	0.110034098021316	0.398999064385973	0.156923023932237	0.141615332276035					0.392252839904995	0.0102715931749808	0.0893580311760099	0.184455338655127					
